charge,atom
-0.266641,C
0.083052,C
-0.069854,C
-0.045875,C
-0.071204,C
-0.066478,C
0.124685,C
-0.394313,O
0.098065,C
0.11109,C
-0.368803,O
0.10033,C
0.07019,C
-0.353811,O
0.080318,C
0.103479,C
-0.378538,O
0.161887,C
-0.099776,C
-0.046305,C
-0.02501,C
-0.056065,C
-0.02763,C
-0.142756,C
0.139683,C
-0.369733,O
0.098934,C
0.069762,C
-0.366249,O
0.101367,C
0.051789,C
-0.353793,O
0.085614,C
0.166389,C
-0.407524,O
0.171612,C
-0.139198,C
-0.010769,C
-0.07339,C
-0.048133,C
-0.045743,C
-0.117164,C
0.123111,C
-0.34644,O
0.065268,C
0.144667,C
-0.383497,O
0.101343,C
0.085812,C
-0.38187,O
0.095684,C
0.142725,C
-0.402958,O
0.121407,C
0.041025,C
-0.268701,C
0.065902,H
0.065902,H
0.065902,H
0.001692,H
0.001692,H
0.028251,H
0.028251,H
0.025819,H
0.025819,H
0.032327,H
0.032327,H
0.039866,H
0.039866,H
0.034408,H
0.034408,H
0.044198,H
0.044198,H
0.036868,H
0.036868,H
0.040774,H
0.040774,H
0.052302,H
0.052302,H
0.043796,H
0.043796,H
0.039528,H
0.039528,H
0.02447,H
0.02447,H
0.042407,H
0.042407,H
0.020825,H
0.020825,H
0.021859,H
0.021859,H
0.022546,H
0.022546,H
0.02954,H
0.02954,H
0.056221,H
0.056221,H
0.025667,H
0.025667,H
0.044528,H
0.044528,H
0.046863,H
0.046863,H
0.05046,H
0.05046,H
0.054319,H
0.054319,H
0.045827,H
0.045827,H
0.01615,H
0.01615,H
0.023143,H
0.023143,H
0.054168,H
0.054168,H
0.020559,H
0.020559,H
0.02968,H
0.02968,H
0.030948,H
0.030948,H
0.029986,H
0.029986,H
0.051195,H
0.051195,H
0.024457,H
0.024457,H
0.044816,H
0.044816,H
0.035923,H
0.035923,H
0.048289,H
0.048289,H
0.048784,H
0.048784,H
0.041969,H
0.041969,H
0.034151,H
0.034151,H
0.029665,H
0.029665,H
0.02178,H
0.02178,H
0.069725,H
0.069725,H
0.069725,H
