charge,atom
-0.251309,C
0.075074,C
-0.060048,C
-0.144638,C
0.192618,C
-0.420932,O
0.143394,C
0.066714,C
-0.363607,O
0.090511,C
0.114465,C
-0.382355,O
0.150241,C
0.081304,C
-0.376328,O
0.158707,C
-0.095419,C
-0.063227,C
-0.023427,C
-0.127243,C
0.149552,C
-0.364214,O
0.067456,C
0.089583,C
-0.354251,O
0.057297,C
0.151525,C
-0.390544,O
0.120582,C
0.038209,C
-0.337638,O
0.101913,C
-0.136395,C
0.021138,C
-0.079209,C
-0.109043,C
0.18966,C
-0.392541,O
0.097779,C
0.086684,C
-0.364607,O
0.086959,C
0.111535,C
-0.374982,O
0.091391,C
0.152194,C
-0.42024,O
0.137817,C
0.076673,C
-0.308116,C
0.062671,H
0.062671,H
0.062671,H
0.004617,H
0.004617,H
0.028691,H
0.028691,H
0.056726,H
0.056726,H
0.017715,H
0.017715,H
0.036195,H
0.036195,H
0.051171,H
0.051171,H
0.048633,H
0.048633,H
0.039665,H
0.039665,H
0.02765,H
0.02765,H
0.038751,H
0.038751,H
0.018164,H
0.018164,H
0.044439,H
0.044439,H
0.032962,H
0.032962,H
0.026011,H
0.026011,H
0.054707,H
0.054707,H
0.021034,H
0.021034,H
0.047327,H
0.047327,H
0.044144,H
0.044144,H
0.054182,H
0.054182,H
0.029979,H
0.029979,H
0.046418,H
0.046418,H
0.053212,H
0.053212,H
0.033271,H
0.033271,H
0.058872,H
0.058872,H
0.014553,H
0.014553,H
0.030607,H
0.030607,H
0.04727,H
0.04727,H
0.017036,H
0.017036,H
0.039366,H
0.039366,H
0.050757,H
0.050757,H
0.042605,H
0.042605,H
0.04239,H
0.04239,H
0.047679,H
0.047679,H
0.027289,H
0.027289,H
0.01696,H
0.01696,H
0.018097,H
0.018097,H
0.077679,H
0.077679,H
0.077679,H
